timestamp,fundingRate,contractId
1738303980000,0.00005000,10000001
1738303920000,0.00005000,10000001
1738303860000,0.00005000,10000001
1738303800000,0.00005000,10000001
1738303740000,0.00005000,10000001
1738303680000,0.00005000,10000001
1738303620000,0.00005000,10000001
1738303560000,0.00005000,10000001
1738303500000,0.00005000,10000001
1738303440000,0.00005000,10000001
1738303380000,0.00005000,10000001
1738303320000,0.00005000,10000001
1738303260000,0.00005000,10000001
1738303200000,0.00005000,10000001
1738303140000,0.00005000,10000001
1738303080000,0.00005000,10000001
1738303020000,0.00005000,10000001
1738302960000,0.00005000,10000001
1738302900000,0.00005000,10000001
1738302840000,0.00005000,10000001
1738302780000,0.00005000,10000001
1738302720000,0.00005000,10000001
1738302660000,0.00005000,10000001
1738302600000,0.00005000,10000001
1738302540000,0.00005000,10000001
1738302480000,0.00005000,10000001
1738302420000,0.00005000,10000001
1738302360000,0.00005000,10000001
1738302300000,0.00005000,10000001
1738302240000,0.00005000,10000001
1738302180000,0.00005000,10000001
1738302120000,0.00005000,10000001
1738302060000,0.00005000,10000001
1738302000000,0.00005000,10000001
1738301940000,0.00005000,10000001
1738301880000,0.00005000,10000001
1738301820000,0.00005000,10000001
1738301760000,0.00005000,10000001
1738301700000,0.00005000,10000001
1738301640000,0.00005000,10000001
1738301580000,0.00005000,10000001
1738301520000,0.00005000,10000001
1738301460000,0.00005000,10000001
1738301400000,0.00005000,10000001
1738301340000,0.00005000,10000001
1738301280000,0.00005000,10000001
1738301220000,0.00005000,10000001
1738301160000,0.00005000,10000001
1738301100000,0.00005000,10000001
1738301040000,0.00005000,10000001
1738300980000,0.00005000,10000001
1738300920000,0.00005000,10000001
1738300860000,0.00005000,10000001
1738300800000,0.00005000,10000001
1738300740000,0.00005000,10000001
1738300680000,0.00005000,10000001
1738300620000,0.00005000,10000001
1738300560000,0.00005000,10000001
1738300500000,0.00005000,10000001
1738300440000,0.00005000,10000001
1738300380000,0.00005000,10000001
1738300320000,0.00005000,10000001
1738300260000,0.00005000,10000001
1738300200000,0.00005000,10000001
1738300140000,0.00005000,10000001
1738300080000,0.00005000,10000001
1738300020000,0.00005000,10000001
1738299960000,0.00005000,10000001
1738299900000,0.00005000,10000001
1738299840000,0.00005000,10000001
1738299780000,0.00005000,10000001
1738299720000,0.00005000,10000001
1738299660000,0.00005000,10000001
1738299600000,0.00005000,10000001
1738299540000,0.00005000,10000001
1738299480000,0.00005000,10000001
1738299420000,0.00005000,10000001
1738299360000,0.00005000,10000001
